Name,Address,Wards,Cuisine,Price,WebsiteUrl,Award,FacilitiesAndServices,Description,,,
Sumibikappo SHIROSAKA,"6-3-9 Akasaka, Minato-ku, Tokyo, 107-0052, Japan",Minato,Japanese,¥¥¥,https://shirosaka.jp/,1 Star,"Air conditioning,Counter dining","When overseas to sharpen his culinary senses, char-grilling caught owner-chef Hideki Ii’s attention. He cooks seasonal ingredients on low heat, using bincho charcoal for fragrance. He mixes modern culinary theory with traditional techniques, with flexible combinations of ingredients that show off his experience. A fine example is the Cold Tuna and Uni, served with gelatinised dashi and caviar. Ii’s deportment and style in the kitchen inspire confidence.",,,
Tenoshima,"2F, 1-3-21 Minamiaoyama, Minato-ku, Tokyo, 107-0062, Japan",Minato,Japanese,¥¥¥,https://www.tenoshima.com/,1 Star,"Air conditioning,Counter dining","Chef Ryohei Hayashi hails from the island of Teshima and his cuisine is a paean of love and gratitude to his hometown, which he shows by casting the ingredients of Setouchi in the starring role. Drawing on the flavours he learned on visits to various regions, the chef uses the skills of traditional Japanese restaurant cooking to craft a cuisine that is all his own. Under the slogan ‘Washoku for all’, he pours his heart and soul into menu items brimming with the spirit of his home island.",,,
Waketokuyama,"5-1-5 Minamiazabu, Minato-ku, Tokyo, 106-0047, Japan",Minato,Japanese,¥¥¥,https://waketoku.com/,1 Star,"Air conditioning,Counter dining,Wheelchair access","The menu changes weekly, but the speciality ‘Seasoned Grilled Abalone’ is available every day. Determined to offer cuisine that wins diners’ hearts, Chef Hiromitsu Nozaki crafts his dishes with Japan’s seasons in mind. Reinforcing this image is a cooking style calibrated to bring out the best in each ingredient. Bowls of root vegetables in white miso soup are prepared with kombu and vegetables, avoiding the use of dried bonito flakes. Seasonal ingredients on rice served in earthenware pots are boiled in water alone.",,,
Daigo,"2F, Forest Tower, 2-3-1 Atago, Minato-ku, Tokyo, 105-0002, Japan",Minato,Japanese,¥¥¥,http://www.atago-daigo.jp/,1 Star,"Air conditioning,Car park,Restaurant offering vegetarian menus,Shoes must be removed","Being originally located in the grounds of Seishoji Temple is why Daigo began serving shojin ryori. In Yusuke Nomura’s modoki ryori (‘imitation cuisine’), only plant-based ingredients are used, but the result is made to resemble food from animals. Trying to guess what the Atago shigure (simmered item) and shojin abalone really are stokes one’s curiosity. Note that dried bonito flakes are used in the broth, so the meals are not completely vegetarian.",,,
Torishiki,"2-14-12 Kamiosaki, Shinagawa-ku, Tokyo, 141-0021, Japan",Setagaya/Shinagawa,Japanese,¥¥¥,,1 Star,"Air conditioning,Counter dining","Yoshiteru Ikegawa devotes himself heart and soul to yakitori. Cuts of chicken speared on the skewers are generous and cooked on high flame to lock in the umami. This technique is made possible by Ikegawa’s thorough familiarity with the characteristics of Kishu-binchotan charcoal, which burns hot. Chicken oil, soy sauce with dashi or olive oil are chosen according to the cut, bringing out the character of each. Ikegawa has trained numerous understudies and has even taken his talents overseas.",,,
Den,"2-3-18 Jingumae, Shibuya-ku, Tokyo, 150-0001, Japan",Shibuya,Japanese,¥¥¥,https://www.jimbochoden.com/,2 Stars,"Air conditioning,Notable sake list","With soy sauce, mirin and katsuo-bushi (dried bonito flakes) in hand, Zaiyu Hasegawa is spreading Japanese cuisine to the world. Generally eschewing the use of kombu, he is skilled in generating flavours through combinations of ingredients and the umami of the meat. The “Dentucky” chicken wings stuffed with steamed mochi rice are like a snack between mains. The Den team and customers come together as one to create a fun atmosphere.",,,
Shigeyuki,"2-17-3 Nishihara, Shibuya-ku, Tokyo, 151-0066, Japan",Shibuya,Japanese,¥¥¥,,1 Star,"Air conditioning,Counter dining","Owner-chef Shigeo Kanno refurbished a house in a residential part of Yoyogi-Uehara where he was born and raised to create this restaurant. Its appeal is a menu that is creative yet respectful of the basics. Fried seafood is dressed in tartar of hanasansho (pepper flowers). Borrowing a page from Buddhist vegetarian dishes, the hassun is packed into a jubako food box. In summer the celebrated dish is awabi with somen noodles kneaded with ume. The atmosphere is homely, the service friendly.",,,
Arakicho Tatsuya,"10 Arakicho, Shinjuku-ku, Tokyo, 160-0007, Japan",Shinjuku,Japanese,¥¥¥,,1 Star,"Air conditioning,Counter dining,Notable sake list","Owner-chef Tatsuya Ishiyama handles everything from serving customers to preparing the food, devoting himself to entertaining his guests. The menu is crafted with an eye to the human connection, from ingredients and sakes to the selection of servings dishes. Meals conclude with zosui (risotto-like rice soup) made with broth from the takiawase, so that none of the flavour is wasted. His explanations of the fare, bringing producer and diner together, leave a deep impression.",,,
FUSHIKINO,"2F, 4-3-11 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, Japan",Shinjuku,Japanese,¥¥¥,https://fushikino.com/,1 Star,"Air conditioning,Counter dining,Notable sake list","The name derives from the Fushiki water jar, a tea utensil owned by tea ceremony master Sen no Rikyu (1522–1591). The trinity of food, sake and utensils is entirely in the FUSHIKINO style. It shows the joy of pairing cuisine with sake and discovering how temperature and vessel can alter flavour. The key influence is Kyoto cuisine, so flavours are quite light. Chazuke (rice with tea poured over it) or bozushi (sushi pressed in a box rather than by hand) complete the meal, appealing to the soul of the drinker.",,,
Ichirin,"3F, 3-4 Fukuromachi, Shinjuku-ku, Tokyo, 162-0828, Japan",Shinjuku,Japanese,¥¥¥,https://www.mikizo.com/,1 Star,"Air conditioning,Counter dining","‘Rin’ means dignified; the name ensures that Chef Mikizo Hashimoto never forgets the spirit of refinement with which he launched his restaurant. Appetisers offer flavours from across Japan so diners can appreciate ingredients from the beginning, middle and end of the harvest. Hashimoto visits producing areas, strengthening his relations with producers so that their vision can shine in his dishes. White rice is prepared in a wooden tub called an o-hitsu; craftsmanship and gracious service inherited from his forebears preserves their wisdom for future generations.",,,
Seika Kobayashi,"10-17 Arakicho, Shinjuku-ku, Tokyo, 160-0007, Japan",Shinjuku,Japanese,¥¥¥,https://www.seika-kobayashi.com/,1 Star,"Air conditioning,Counter dining","Owner-chef Yuji Kobayashi has a passion for the works of Seika Suda, a Kutani porcelain potter. Kobayashi, who began collecting pottery as a teenager, pairs each dish with just the right vessel to accentuate the flavour. To bring the flavour of each ingredient, seasoning is restrained, consisting of salt and the umami of dashi. Kobayashi’s charcoal grilling technique brings forth a smoky aroma. Items are plated without unnecessary artifice, enhancing the ingredients’ bold presentation.",,,
Sharikimon Onozawa,"6-39 Arakicho, Shinjuku-ku, Tokyo, 160-0007, Japan",Shinjuku,Japanese,¥¥¥,,1 Star,"Air conditioning,Counter dining","Makoto Onozawa finds inventive ways to break the mould while respecting tradition. Soup dishes and sashimi uphold the basics, reassuring the diner. Broiled unagi seasoned in soy-based sweet sauce is served together with broiled unseasoned unagi for a special treat. Rolled sushi of tuna and pickled daikon radish are served in the intervals, bringing satisfaction. The meal concludes on two comfort-food notes: soba and curry. Breaking tradition, after all, is about seeing the job to completion.",,,
Oku,"3-42-11 Asakusa, Taito-ku, Tokyo, 111-0032, Japan",Bunkyo/Sumida/Taito,Sushi,¥¥¥,,1 Star,"Air conditioning,Counter dining","You can tell a lot about Katsuji Oku from the way he works. When first-timers arrive, he bids them sit close to his work counter, so he can make them feel at home with some conversation. Painstakingly prepared snacks and gracefully shaped sushi also speak volumes about his character. Staple snacks include grilled marinated fish on small beds of rice, chawanmushi and sardine wrapped in nori. To express his individuality, he greets customers by serving gizzard shad as the first nigiri offering.",,,
Sushi Ichijo,"3-1-3 Higashinihombashi, Chuo-ku, Tokyo, 103-0004, Japan",Chuo,Sushi,¥¥¥,,1 Star,"Air conditioning,Counter dining","Satoshi Ichijo was still a boy when he set his sights on a career in sushi. Doted on by the workers at the sushi place his mother worked at, little Satoshi was drawn to the way the sushi chefs comported themselves, full of humanity and kindness. Ichijo’s artisanal skills shine in the gizzard shad marinated in vinegar, lightly seasoned and simmered anago and tamago-yaki prepared with Shiba shrimp. He forms his sushi from akazu-seasoned rice, inheriting a culture handed down from his predecessors.",,,
Sushi Keita,"6-6-4 Tsukiji, Chuo-ku, Tokyo, 104-0045, Japan",Chuo,Sushi,¥¥¥,,1 Star,"Air conditioning,Counter dining","Owner-chef Keita Aoyama treasures the Edomae cuisine skills he acquired through apprenticeships in Hokkaido and Tokyo. Fish floss is sandwiched between rice and either gizzard shad or prawn. Nitsume-coated anago is rich and flavoursome. Mindful of the simple joy of filling one’s cheeks, the nigiri are generously portioned. Sushi toppings are cut thick and paired with akazu-seasoned rice. Tamago-yaki with Shiba shrimp wraps up the meal. Polished skills are evident in every dish.",,,
UDATSU SUSHI,"2-48-10 Kamimeguro, Meguro-ku, Tokyo, 153-0051, Japan",Meguro,Sushi,¥¥¥,https://www.udatsu-sushi.jp/,1 Star,"Air conditioning,Counter dining","Hisashi Udatsu offers ‘tradition and evolution in sushi’, weaving together by-the-book sushi preparation and creative toppings. The Herb Maki, fish and herbs wrapped in nori, and the Veggie Roll, a cone-shaped roll of vegetables and vinegared rice, are only offered here. To modulate his menu, Udatsu uses vegetables in season. Art from Japan and overseas can be found throughout, using the interior to depict the evolution of sushi restaurants.",,,
Nishiazabu Taku,"2-11-5 Nishiazabu, Minato-ku, Tokyo, 106-0031, Japan",Minato,Sushi,¥¥¥,https://nishiazabu-taku.com/,1 Star,"Air conditioning,Counter dining,Interesting wine list","Takuya Sato returned to Tokyo after experiencing making sushi in Hawaii. He realised that the high quality of Japanese seafood was a blessing due to the care with which Japanese fishermen handle their catch. Grateful for the bounty of the environment, he exercises his talents to capture the full flavour of each morsel. He’ll also win over diners with astute wine and sake pairings. The unpredictability of the evening’s flow adds a dimension of fun.",,,
Sushi Matsuura,"5-7-8 Shirokane, Minato-ku, Tokyo, 108-0072, Japan",Minato,Sushi,¥¥¥,,1 Star,"Air conditioning,Counter dining","The stage is a sushi shop and as the curtain rises, instead of his business card the chef offers a negitoro roll (minced tuna with green onion leaves), presented by hand. Sushi rolls of monkfish liver and dried gourd strips are served with sweet, thick kijoshu (sake brewed with sake not water), taking a hint from pairings of foie gras with botrytised wine. All three key requisites of a good sushi shop are present: watchfulness, consideration and smiles. No wonder this performance is so well attended.",,,
Sushiya Shota,"3-3-10 Azabujuban, Minato-ku, Tokyo, 106-0045, Japan",Minato,Sushi,¥¥¥,,1 Star,"Air conditioning,Counter dining","Chef Moon Kyung Hwan was inspired by the lead character in a sushi manga. Dreaming of forming sushi by hand, he journeyed to Japan from his native South Korea. His earnestness in studying Japanese and sushi technique at the same time earned him the nickname ‘Shota’, the name of the protagonist in that manga. He frequently visits Toyosu to build trust with wholesalers and pours his heart into sushi-making. His negima soup is a tribute to the food-stall culture of Edo.",,,
Sushidokoro Kiraku,"1-12-12 Kyodo, Setagaya-ku, Tokyo, 156-0052, Japan",Setagaya/Shinagawa,Sushi,¥¥¥,,1 Star,"Air conditioning,Counter dining","Sushidokoro Kiraku has been operating here since 1937. Manning the counter is third-generation owner-chef, Tatsuhito Ota. He has refined the skills that were passed down to him while retaining his roots in the neighbourhood. His skill shines in the aged white fish and wavy-cut octopus. The nigiri shows this too, with tiger prawns sandwiching fish floss, or kasugodai marinated in vinegar. With his friendly service and upfront way of working, he shows how a sushi restaurant is meant to be enjoyed.",,,
Hiroo Ishizaka,"2F, 5-19-1 Hiro, Shibuya-ku, Tokyo, 150-0012, Japan",Shibuya,Sushi,¥¥¥,,1 Star,"Air conditioning,Counter dining","The chef is solid on the basics yet leaves room for a distinctive touch. The meal begins with moderately fatty, sweet flesh of tuna sushi, followed by sea urchin wrapped in nori as a way to compare flavours. Pursuing originality, a single piece of shiitake mushroom sushi follows. Sushi of botan shrimp and thick rolled omelette flavoured with soup stock is also distinctive. In summer, the chef serves rolled cucumber sushi, using cucumbers grown by his parents. The meal ends with soy sauce ice cream, a flavour only a sushi shop could offer.",,,
Edomae Shinsaku,"6F, 2-10-11 Nihombashiningyocho, Chuo-ku, Tokyo, 103-0013, Japan",Chuo,Tempura,¥¥¥,https://shinsaku.tokyo/,1 Star,"Air conditioning,Counter dining,Notable sake list","A book by a tempura master changed Shinsaku Nishimura’s life. Frequenting the author’s restaurant, he was inspired by how the chef’s character was manifested in his tempura. Nishimura speaks of the Maillard reaction, in which food becomes fragrant as it turns a golden brown. Frying at low temperatures, bringing each ingredient to a mellow finish, is a Nishimura trademark. His spirit of inquiry never flags as he seeks out quality ingredients and hones his techniques.",,,
Kyobashi Tempura Fukamachi,"2-5-2 Kyobashi, Chuo-ku, Tokyo, 104-0031, Japan",Chuo,Tempura,¥¥¥,,1 Star,"Air conditioning,Counter dining","Masao Fukamachi has been walking the path of the chef for half a century. He adjusts the batter for each type of tempura, concentrating his experience in practiced movements as he manages two cooking pots. As he heats uni wrapped in oba, he enhances its fragrance and draws out the umami, demonstrating his formidable skills. Supporting the owner-chef are his two sons. Heirs to his expertise in Edomae cooking, the two young men are following in their father’s footsteps.",,,
Shunkeian Arakaki,"3-5-10 Minato, Chuo-ku, Tokyo, 104-0043, Japan",Chuo,Tempura,¥¥¥,,1 Star,"Air conditioning,Counter dining","A sanshin, the three-stringed lute of Okinawa, decorates the restaurant; a pot of awamori (Okinawan rice liquor) adorns the counter. Chef Kaname Arakaki is fiercely proud of his Okinawan roots. From his experience in Japanese cuisine, he creates appetisers, bowls of stew and amuse-bouches. Dishes are served in Yamuchin pottery and Ryukyu lacquerware; tempura is accompanied by sea salt from Okinawa. At the entrance, a shiisaa, or Okinawan lion, quietly watches over.",,,
Tempura Kondo,"9F, 5-5-13 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,Tempura,¥¥¥,https://tempura-kondo.com/,2 Stars,"Air conditioning,Counter dining","Fumio Kondo sets a modern example for Edomae tempura. He was one of the first to put the focus on vegetables, elevating their status from that of a side dish. Two examples are the shredded carrots fried in a pot and arranged like fireworks, and the cylindrical sweet potatoes made to resemble those baked on hot pebbles. He has had great success going where none has gone before.",,,
Tempura Miyashiro,"2-18-11 Kamimeguro, Meguro-ku, Tokyo, 153-0051, Japan",Meguro,Tempura,¥¥¥,https://www.miyashiro.tokyo/,1 Star,"Air conditioning,Counter dining","The set menu with its daily changing dishes is a tapestry of artful tempura and more. Naoaki Miyashiro’s menu is bursting with surprises and joy. Abalone is made into shabu-shabu in liver broth. Leftover broth is added to rice tempura and served as seasoned rice gruel. To wrap up the meal, ‘Tenbara’ is served, rice cooked with tomatoes and topped with kakiage (all-in-one seafood and vegetable tempura blend). The chef applies skills learned in Japanese cooking to add flair to his dishes.",,,
Tempura Ginya,"B1F, 5-17-9 Shirokanedai, Minato-ku, Tokyo, 108-0071, Japan",Minato,Tempura,¥¥¥,,2 Stars,"Air conditioning,Counter dining","Diners can fully enjoy the seasoned proficiency of Katsuji Ginya, a tempura master for over 30 years. Watching his pots intently, listening keenly to the sound of the oil, Ginya moves with the natural ease of a man whose craft pervades his every sinew. If you ask, he replies, “I don’t think about it; my body just knows the moves”. Ginya’s handling of oil, batter, seafood and vegetables is long past the theoretical stage; he is at one with his craft, body and soul.",,,
Tempura Maehira,"4F, 2-8-16 Azabujuban, Minato-ku, Tokyo, 106-0045, Japan",Minato,Tempura,¥¥¥,,1 Star,"Air conditioning,Counter dining","Tomokazu Maehira’s interpretation of tempura does not begin with shrimp, but with the light, plain flavours of icefish and squid. Bundled broad beans and snow peas offer plumpness, while burdock and bamboo shoots bring a pleasing firmness, and sea urchins a creamy touch. The alternation of light and rich flavours and textures are well thought out. Maehira follows the three stages of mastery: the fundamentals, followed by breaking with tradition, then creating one’s own techniques.",,,
Ten Yokota,"2F, 3-10-5 Motoazabu, Minato-ku, Tokyo, 106-0046, Japan",Minato,Tempura,¥¥¥,https://www.ten-yokota.com/,1 Star,"Air conditioning,Counter dining","“Begin with shrimp and end with shrimp”, says Shogo Yokota about serving tempura. The first piece is deep-fried rare to elicit sweetness. The curry salt is a touch inherited from the chef’s father, who was also a tempura artisan; the mushrooms, a product of Yokota’s desire to explore new directions in tempura. Finishing with shrimp after conger eel is a Yokota trademark. Another departure is pairing the second shrimp tempura piece with shrimp paste to bring out its richness.",,,
Tempura Motoyoshi,"3F, 2-8-11 Ebisunishi, Shibuya-ku, Tokyo, 150-0021, Japan",Shibuya,Tempura,¥¥¥,https://motoyoshi-1120.com/,1 Star,"Air conditioning,Counter dining","The fruits of Motoyoshi’s curiosity are apparent in his tempura. Shrimp comes in two types of coating, which you can taste and compare. The light batter is seasoned with salt, while tentsuyu complements the thick batter. Fatty hairtail and Spanish mackerel are deep-fried to evoke a grilled aroma. Onions and lotus root are left to sit till they reach the right temperature for optimum sweetness. Motoyoshi deftly manipulates batter thickness and flame heat to call forth a cornucopia of flavours.",,,
Oniku Karyu,"7F, 1-14-6 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,Japanese,¥¥¥¥,http://www.karyu-tokyo.com/,1 Star,"Air conditioning,Counter dining","Haruka Katayanagi’s love of beef fairly tumbles from a menu sure to tickle the fancy of Black wagyu beef lovers. The presentation of char-grilled chateaubriand sets the mood. The kaiseki does full justice to wagyu irrespective of genre, as sushi, stew and cutlet sandwiches are all on offer. In combination with sea urchin and abalone, it is a taste of luxury. As the beef cuisine brings smiles to guests’ faces, the flawless service of the owner-chef and Team Karyu is a joy to behold.",,,
JO,"B1F, 2-24-14 Nishiazabu, Minato-ku, Tokyo, 106-0031, Japan",Minato,Japanese,¥¥¥¥,http://jo-tokyo.jp/,1 Star,"Air conditioning,Counter dining","Chef Jotaro Okubo uses beef from a breed with longer fattening period than ordinary kuroge wagyu, prized for the dense flavour of its red meat. Billing itself as a ‘meat kappo,’ the restaurant serves up a medley of beef cuts in the manner of a kaiseki feast. The variety is impressive: beef aitchbone and seafood on a small bowl of rice, spring rolls of dry-cured beef ham, sirloin shabu-shabu. Taste the wonders of beef through the imagination of Jotaro Okubo.",,,
Ippei Hanten,"3-12-41 Motoazabu, Minato-ku, Tokyo, 106-0046, Japan",Minato,Chinese,¥¥¥¥,https://ippei-hanten.com/,1 Star,"Air conditioning,Counter dining","Ippei Adachi’s cuisine is a bridge between Hong Kong and Japan. Drawing on his experiences in Hong Kong, he offers Canton-based cuisine prepared with high quality Japanese ingredients. Starting set menus with congee is an idea he borrowed from tea ceremony cuisine. Shangtang, Chinese soup stock of the highest grade, is prepared with lightness of flavour in mind. He makes the stock with Jinhua dry-cured ham, heightening the deliciousness of the vegetables and seafood.",,,
Sazenka,"4-7-5 Minamiazabu, Minato-ku, Tokyo, 106-0047, Japan",Minato,Chinese,¥¥¥¥,https://sazenka.com/,3 Stars,"Air conditioning,Interesting wine list","Chef Tomoya Kawada adopts the idea of ‘Chinese techniques infused with Japanese spirit’ he learned from history books. He holds that true flavour is found in the lightness of taste that comes from combining dishes cooked in water and over a flame, a triumph of Japanese spirit executed with Chinese skills. We couldn’t hide our amazement at how his dishes add a lightness to the five flavours in the Chinese concept of the five agents. Ingredients imbued with a Japanese spirit in Chinese cooking breathe new life into ancient culinary tradition.",,,
ShinoiS,"2F, 4-2-7 Shirokanedai, Minato-ku, Tokyo, 108-0071, Japan",Minato,Chinese,¥¥¥¥,https://shinois.com/,1 Star,"Air conditioning,Counter dining","Chef Hiroyuki Shinohara serves up traditional Chinese cuisine with a modern interpretation. Caviar and Comté cheese are added to the spring roll for a salty tang. While dried awabi (abalone) is normally served in top-grade Chinese soup stock and seasonings, here water alone is used to draw out the umami. He treasures both tradition and evolution. Using top-quality Japanese ingredients, he spins unique interpretations of Chinese culture and regional cooking, creating a new Chinese cuisine.",,,
Piao-Xiang,"5-19-1 Hiro, Shibuya-ku, Tokyo, 150-0012, Japan",Shibuya,Chinese,¥¥¥¥,https://www.piao-xiang.com/,1 Star,Air conditioning,"Yoshiki Igeta is captivated by Sichuan cuisine. Chilli peppers were first introduced there four centuries ago, but Piao-Xiang weaves a tale of history, reaching back for the good old cooking of Sichuan before chilli peppers and adding a few enhancements. As a result, prix fixe menus are not spicy, giving full rein to the appeal of Sichuan cuisine and its 24 seasonings and 54 preparation methods. The staff’s explanations of his dishes fascinate with their profundity.",,,
Ginza Kitafuku,"3F, 7-4-5 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,Japanese,¥¥¥¥,https://kanikitafuku.com/,1 Star,Air conditioning,"Live crab delights all five senses year-round. The chef deftly handles the crabs, which arrive in wooden boxes. To add variety to their flavour, the crabs are served as sashimi, shabu-shabu or char-grilled, while tempura and zosui are also available. Red king crab and horsehair crab are served year-round, while blue king crab and matsubagani are served only in season. Enjoying a crab dinner while listening to the chef’s anecdotes about the crustaceans is time well spent.",,,
HOMMAGE,"4-10-5 Asakusa, Taito-ku, Tokyo, 111-0032, Japan",Bunkyo/Sumida/Taito,French,¥¥¥¥,http://www.hommage-arai.com/,2 Stars,"Air conditioning,Interesting wine list","Noboru Arai motivates his team with his boundless curiosity. His wife Mayuka’s hospitality and his fellow artisans’ service are a consummate match. The fare here is the product of deep inquiries into a variety of food cultures. Ningyo-yaki (sponge cakes filled with red bean paste) and kaminari-okoshi rice crackers are Asakusa favourites, while chickpea hummus is a Middle Eastern tradition. Mixing in a little local culture sends French cuisine in intriguing directions.",,,
Tour D'argent Tokyo,"Lobby floor, Hotel New Otani Tokyo (The Main), 4-1 Kioicho, Chiyoda-ku, Tokyo, 102-8578, Japan",Chiyoda,French,¥¥¥¥,https://tourdargent.jp/,1 Star,"Air conditioning,Car park,Interesting wine list,Wheelchair access","The main location in Paris has a real history, having opened in 1582. Renaud Augier, winner of the Un des Meilleurs Ouvriers de France (MOF) award, breathes new life into classic dishes with modern sensibilities. Specialities with an especially solid reputation include young duck roast made with duck that carries a serial number, which was enjoyed by Emperor Showa, and Three Emperor’s style goose foie gras. A luxurious meal here would be a fitting end to a special day.",,,
est,"39F, Four Seasons Hotel Tokyo at Otemachi, 1-2-1 Otemachi, Chiyoda-ku, Tokyo, 100-0004, Japan",Chiyoda,French,¥¥¥¥,https://www.est-tokyo.com/,1 Star,"Air conditioning,Car park,Great view,Interesting wine list,Terrace,Wheelchair access","Chef Guillaume Bracaval offers French cuisine as only Japan can express it. Respect for Japan’s terroir shines in Bracaval’s near-total reliance on domestic ingredients. Animal fats and dairy products are used sparingly, with an aim for a delicate cuisine that is also healthy. Inspired by sushi toppings, the chef stocks fish and dashi, fusing Japanese and French influences. Gorgeously produced desserts are works of modern art.",,,
SÉZANNE,"7F, Four Seasons Hotel Tokyo at Marunouchi, 1-11-1 Marunouchi, Chiyoda-ku, Tokyo, 100-6277, Japan",Chiyoda,French,¥¥¥¥,https://www.sezanne.tokyo/,2 Stars,"Air conditioning,Car park,Interesting wine list,Wheelchair access","From London to New York, on to Paris, Hong Kong, and finally Tokyo – Daniel Calvert’s experiences and memories in each of these cities make up his culinary roots. The poché of game fowl marinated in vin jaune is arranged in the style of China’s famous drunken chicken. Cold risotto smothered in oysters and citrus fruit borrows a page from sushi. A borderless culinary sensibility has now started in Japan as well.",,,
ASAHINA Gastronome,"1-4 Nihombashikabutocho, Chuo-ku, Tokyo, 103-0026, Japan",Chuo,French,¥¥¥¥,https://asahinagastronome.com/,2 Stars,"Air conditioning,Interesting wine list","Décor is chic in white and silver – like the cuisine, classic yet modern. Chef Satoru Asahina’s theme is ‘traditional heritage with modern innovation’. Classic recipes are read with a modern interpretation: for example, poulet en vessie – chicken wrapped in pig’s bladder. The name ‘Gastronome’ reflects Asahina’s desire that his restaurant become a gathering-place for gourmets. Elegant cuisine as beautiful as a painting.",,,
ESqUISSE,"9F, 5-4-6 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,French,¥¥¥¥,https://www.esquissetokyo.com/,2 Stars,"Air conditioning,Interesting wine list","It is now over a decade since Lionel Beccat left his native France to take to a new stage in Japan. He travelled extensively in Japan, feeling the earth, breathing its natural world through his skin, to know its foodstuffs and culture intimately. Two cultures coexist inside his soul, stirring a new terroir in his imagination. The cuisine that inspiration creates is as subtle and beautiful as a work of art.",,,
L'OSIER,"7-5-5 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,French,¥¥¥¥,https://losier.shiseido.co.jp/,3 Stars,"Air conditioning,Car park,Interesting wine list","In 2023 L’OSIER celebrated the 50th anniversary of its foundation. Beyond the front door with its camellia motif lies a world of elegance. Works by Dalí and Cocteau adorn the graceful interior; silverware by Puiforcat completes luxurious French dining. Renowned for weaving tradition with innovation, chef Olivier Chaignon is one of the architects of modern French cuisine. His mission is and will always be the pursuit of beauty.",,,
Joël Robuchon,"Yebisu Garden Place, 1-13-1 Mita, Meguro-ku, Tokyo, 153-0062, Japan",Meguro,French,¥¥¥¥,https://www.robuchon.jp/,3 Stars,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus","Kenichiro Sekiya, recipient of the prestigious appellation Meilleur Ouvrier de France, is opening new horizons for the esprit of Joël Robuchon. For Sekiya, studying the classics gives rise to the future, as exemplified by Caviar Impérial, an edible work of art. Robuchon’s heritage is one of constant innovation; we can’t wait to find out what flavours the 21st century holds in store.",,,
La Clairière,"3-14-10 Shirokane, Minato-ku, Tokyo, 108-0072, Japan",Minato,French,¥¥¥¥,https://www.la-clairiere.tokyo/,1 Star,Air conditioning,"Hideyuki Shibata broadened his knowledge by visiting the regions which produce his ingredients. The first difference you notice is their presentation. He conveys the bounty of nature and the joy he feels in bringing together customer and producer. His white asparagus trio, sweetfish variations and peach gazpacho are seasonal specialities. You’ll love the taste of the chef’s message: ‘Joy and gratitude in every dish’.",,,
L'Effervescence,"2-26-4 Nishiazabu, Minato-ku, Tokyo, 106-0031, Japan",Minato,French,¥¥¥¥,http://www.leffervescence.jp/,3 Stars,"Air conditioning,Interesting wine list","Chef Shinobu Namae refers to the foodstuff producers who support L’Effervescence as “artisans” out of respect for their finely honed skills. The ingredients list, passed out by hand, is a chronicle of the producing regions Namae visits in his travels. Artisanal Vegetables, a dish that changes its appearance with each passing season, is one speciality. The love for nature that wells up from his pairings of umami from land and sea is the tale told through the cuisine here.",,,
PIERRE GAGNAIRE,"36F, ANA InterContinental Tokyo, 1-12-33 Akasaka, Minato-ku, Tokyo, 107-0052, Japan",Minato,French,¥¥¥¥,https://anaintercontinental-tokyo.jp/,2 Stars,"Air conditioning,Car park,Great view,Interesting wine list,Wheelchair access","The brainchild of Pierre Gagnaire, whose nickname is ‘the Picasso of the kitchen’. Of all Gagnaire’s eponymous restaurants worldwide, the Tokyo iteration on a high floor of a high-rise is perhaps the closest to heaven. With striking views of Tokyo Tower, the big-city ambience is unmistakeable. The chef expresses Gagnaire’s culinary vision through the prism of Japan’s seasons. On a canvas of white dishes, the chef draws in bright colours.",,,
Quintessence,"1F, Garden City Shinagawa Gotenyama, 6-7-29 Kitashinagawa, Shinagawa-ku, Tokyo, 141-0001, Japan",Setagaya/Shinagawa,French,¥¥¥¥,https://www.quintessence.jp/,3 Stars,"Air conditioning,Interesting wine list,Wheelchair access","The abundantly creative Shuzo Kishida never tires of exploring the possibilities of cuisine. ‘Carte Blanche’, his crisp white menu, speaks to his spirit of perpetual inquiry. With the themes of ‘ingredients, flame, seasoning’, Kishida delves deep into the soul of French cooking to create novel dishes. Goat’s-milk bavarois and meringue ice cream are specialities that spring from Kishida’s philosophy.",,,
L'ÉTERRE,"2F, 3-6-53 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, Japan",Shinjuku,French,¥¥¥¥,,1 Star,"Air conditioning,Counter dining,Interesting wine list","L’Éterre was opened by Yoshiaki Ito, chef of L’Archeste in Paris’ 16th arrondissement. Ito entrusted the kitchen here to Akira Tagomori, who was Ito’s junior during his apprenticeship. The classic fare is prepared with traditional techniques, making artful use of firewood, charcoal and straw to draw out the purity of the ingredients. Cheesecake and chocolate truffles are desserts served in both the Paris and Tokyo locations. The bond between Ito and Tagomori binds the two cities as well.",,,
